可撥大學生的週五日誌 #4,0
[達人專欄] 月之傳人與無盡的拉迪斯    第十一章    吊線上的性命,0
可撥大學生的週五日誌 #3好耶,0
[達人專欄] 月之傳人與無盡的拉迪斯    第十章    再啟的旅程,0
期中考考完了,0
可撥大一生的週五日誌 #2笑死 昨天忘記寫了,0
開學一個半月了,0
可撥大一生的週五日誌#1  看紫羅蘭啦,0
10/10 國慶烤肉+慶生ㄊㄨㄚ,0
小屋今後的經營規劃,0
《單戀七年》    後記,0
明天要開學了，來總結一下暑假吧,0
[達人專欄] 單戀七年的女生和我成為情侶了！？    第二十五章    已然唱盡的情歌,0
9/8 入住海大三天心得,0
8/30-9/1台中行,0
[達人專欄] 單戀七年的女生和我成為情侶了！？    第二十二章    那晚我們看著同一片天空,0
8/20 跟單戀七年的妹子去女同學家唱歌嘍,0
8/12 日K唱起來,0
你讓我想起了三年前的我,0
[達人專欄] 單戀七年的女生和我成為情侶了！？    第二十章    海風,0
8/4-8/6 台南行ver 2,0
2020/7/31 七月結束嘍,0
贏啦,0
2020/7/15胃痛,0
2020/7/13去海大嘍 一些突如其來的心靈抒發,0
近況&amp;小說公告,0
考過汽車駕照嘍,0
[達人專欄] 單戀七年的女生和我成為情侶了！？    第十七章    畢業,0
南部三日遊：6/30、7/1高雄篇,0
南部三日遊：6/29、6/30台南篇（圖多注意,0
人氣破萬回饋（內有露臉慎入,0
人氣破10000回饋方式（請有看到的都盡量進來留言,0
[達人專欄] 單戀七年的女生和我成為情侶了！？    第十三章    無法傳遞的情歌,0
[達人專欄] 單戀七年的女生和我成為情侶了！？    第十二章    有效期限與資格,0
【開箱】 PVC 天彗龍（圖多）,0
5/29ㄉ日誌,0
[達人專欄] 單戀七年的女生和我成為情侶了！？    第九章     那些都是回憶的剪影,0
大學放榜&今天ㄉ日誌,0
2020/05/14 今天填志願,0
[達人專欄] 單戀七年的女生和我成為情侶了！？    第六章    祝妳祝妳生日快樂,0
我正取了,0
面試全部結束,0
[達人專欄] 單戀七年的女生和我成為情侶了！？    第四章    把妳約出來好難！,0
高雄隨便玩ㄉ一天&小說近況,0
高雄大學 亞太工商管理學系 面試心得,0
[達人專欄] 月之傳人與無盡的拉迪斯    第九話    沉眠之夜,0
2020/04/10 難得的心靈沉澱,0
[達人專欄] 月之傳人與無盡的拉迪斯    第八話    狼王討伐作戰（二）,0
2020/03/31 一階放榜&amp;小說近況&amp;段考,0
2020/03/29我又得小說獎了 頒獎&amp;小說生涯心得,0
[達人專欄] 月之傳人與無盡的拉迪斯    第七話    狼王討伐作戰（一）,0
86動畫化了,0
[達人專欄] 月之傳人與無盡的拉迪斯    第六話    墜落的星星,0
極度憂鬱（負能量慎入）,0
[達人專欄] 月之傳人與無盡的拉迪斯    第五話    初心者慢慢來就好,0
英檢中級一日考 心得,0
《月之傳人》的宣傳與今後走向,0
[達人專欄] 月之傳人與無盡的拉迪斯    第四話    決定,0
[達人專欄] 月之傳人與無盡的拉迪斯    第三話    貧民窟的男人,0
明天就發成績了,0
[達人專欄] 月之傳人與無盡的拉迪斯    第二話  在那個夜晚後的晨光,0
哥吉拉II 怪獸之王 心得,0
把名字改成學測模式了,0
說好的女裝來了，園遊會一日女裝癖,0
東京days 3~~~台場真的棒呆了！ 圖多,0
《碎空》設定大解析 #1 世界觀,0
［輕小說］碎空  最終話--無盡的盡頭,0
［輕小說］碎空 第二十三話--幕間,0
［輕小說］碎空 第二十二話--舉起復仇之劍,0
［輕小說］碎空  第二十一話--爆燄、冰晶、龍雷,0
［輕小說］ 碎空 第二十話--下定決心了就前進吧,0
［輕小說］碎空 第十九話--他們的遺願,0
［輕小說］碎空 第十八話--對逝去者獻上敬意,0
短篇小說--《永恆之心》下,0
短篇小說《永恆之心》 上,0
［輕小說］碎空 第十七話--失去名字之人,0
［輕小說］碎空 第十六話--此刻，斬斷自己的軟弱,0
［輕小說］碎空 第十五話--黃金的龍燄（下）,0
［輕小說］碎空 第十四話--黃金的龍燄（上）,0
［輕小說］碎空 第十三話 龍躍,0
［輕小說］碎空 第十二話--蜥蜴人的霸主,0
［輕小說］碎空 第十一話--突襲者們,0
［輕小說］碎空 第十話--以戰士之名,0
自介,0
［輕小說］碎空 第九話--突破重圍,0
［輕小說］碎空 第八話--初次上陣,0
［輕小說］碎空 第七話--眾戰士們,0
［輕小說］碎空 第六話--神之旨意,0
［輕小說］碎空 第五話--賽克溫德,0
［輕小說］碎空 第四話--星光,0
［輕小說］碎空 第三話--《月型刃》,0
［輕小說］碎空 第二話--突然來訪的男子,0
［輕小說］碎空 第一話--少年,0
